"","coef.mean","1","2","3"
"O75954",9.7268,10.799,4.2825,14.098
"Q86VP6",9.6078,8.5674,7.995,12.261
"P08603",9.4313,5.3859,16.455,6.4526
"P04075",9.4103,8.8129,10.967,8.4508
"Q96KP4",8.7637,6.6557,5.2285,14.407
"Q14118",8.6594,8.0536,11.441,6.4834
"O00560",8.6368,7.5119,5.3343,13.064
"P62424",8.5951,6.8789,14.613,4.2931
"P16152",8.3941,8.0841,8.5993,8.4989
"A0A087X1J7",8.2148,9.1681,7.2222,8.2541
"P63313",8.1026,7.9263,5.797,10.584
"P09960",7.982,7.0554,5.1765,11.714
"P45877",7.9185,9.9673,12.603,1.1847
"P07737",7.5492,7.575,9.8945,5.1782
"P19827",7.3966,7.8016,6.7926,7.5955
"Q13200",7.3492,10.152,0,11.895
"P49327",5.4444,5.6132,6.872,3.848
"Q96TA1",5.2485,4.9452,1.112,9.6883
"P62328",4.9735,4.4554,6.4154,4.0497
"P40925",4.4062,2.6933,6.7694,3.7561
"P68871",4.1402,4.0092,1.3804,7.0312
