ter,1,2,3,fc
Q92597,0.000550055,0.000356505,2.98E-05,18.46526186
B4DXW1,0.000193274,0.000421339,1.39E-05,13.91846875
P78371,0.000353201,0.00048163,3.69E-05,9.575256064
P28072,0.000376057,0.000381822,0.000122027,3.081744569
P01780,0.011439892,0.009839613,0.00317568,3.602343599
C9JVB2,0.000381834,0.00029662,0.000257797,1.48114243
O15143,0.000258418,0.000417189,3.81E-06,67.84041451
P49788,0.000444741,9.47E-05,2.33E-05,19.10276637
O43175,0.000336873,0.000281619,4.78E-05,7.049066856
P04196,0.000175932,6.81E-05,0.000106054,1.658893641
P27469,4.51E-05,0.000401395,0.000298456,0.151119907
Q6UX06,0.000453485,4.15E-05,0.000216762,2.092082824
P09960,0.000180004,0.000356618,2.70E-05,6.656370303
O15144,0.00018767,0.000320217,2.44E-05,7.684462274
O43405,0.000287012,0.00029468,0.000791987,0.362395484
P33908,0.000166422,9.22E-05,2.01E-05,8.265663047
Q9Y2J8,3.93E-05,0.000316673,2.10E-06,18.69847118
E9PBS1,0.000159843,0.000237631,3.50E-05,4.564752592
P14868,6.62E-05,0.000145191,1.63E-05,4.071974583
P26572,5.44E-05,4.67E-05,8.04E-05,0.675647252
P05154,0.000113419,0.000711007,0.000145779,0.778019692
P11279,0.000196583,0.000262391,3.66E-05,5.37168204
A0A087WSY5,0.000100107,7.65E-05,4.21E-05,2.378273194
Q15084,6.88E-05,5.30E-05,1.39E-05,4.932815703
P01619,0.020210167,0.01691177,0.007102856,2.845357671
P01624,0.012681778,0.011262441,0.007211612,1.758521806
Q00610,4.39E-05,7.69E-05,7.41E-07,59.20370107
Q86VP6,4.29E-05,5.94E-05,2.34E-06,18.32447442
O43490,7.36E-05,1.36E-06,3.15E-05,2.336447059
P13497,2.25E-05,6.20E-06,1.59E-05,1.412642559
Q562R1,8.87E-06,2.09E-05,2.94E-05,0.302092137
